Days_length;(All);;Days_length;(All);;;;;;
Pedigree;Mix;;Pedigree;(Multiple Items);;;;;;
Animal_Type_intake;Dog;;Animal_Type_intake;Dog;;;;;;
Intake_Type;(All);;Intake_Type;(All);;;;;;
Age;(All);;Age;(All);;;;;;
Color_intake;(All);;Color_intake;(All);;;;;;
;;;;;;;;;; -   
Row Labels;Count of MonthYear_intake;;Row Labels;Count of MonthYear_intake;;;;;; -   
Intact Female; 10,923 ;;Intact Female; 718 ;;;;;;
Intact Male; 12,906 ;;Intact Male; 957 ;;;;;;
Spayed Female; 9,509 ;;Spayed Female; 680 ;;;;;;
Neutered Male; 11,070 ;;Neutered Male; 1,160 ;;;;;;
Unknown; 166 ;;Unknown; 4 ;;;;;;
Grand Total; 44,574 ;;(blank); 1 ;;;;;;
;;;Grand Total; 3,520 ;;;;;;
;;;;;;;;;;
;93%;;;7%;;;;;;
