"Variable Name,""Variable Categories"",,""Dogs Not Obtained From Dogs Trust"",""Dogs Originally Obtained From Dogs Trust"",""All Dogs (%)"""
"Dogs Obtained Privately (%),""Dogs Obtained From Kennels Other Than Dogs Trust (%)"""
"Total number of dogs,"" "",""1,217"",""396"",""1,193"",""2,806"""
"Sex,""Male"",""660 (54.2)"",""231 (58.3)"",""704 (59.0)"",""1,595 (56.8)"""
" ,""Female"",""557 (45.8)"",""165 (41.7)"",""489 (41.0)"",""1,211 (43.2)"""
"Crossbreed,""Crossbred"",""827 (68.0)"",""346 (87.4)"",""1,047 (87.8)"",""2,220 (79.1)"""
" ,""Purebred"",""390 (32.0)"",""50 (12.6)"",""146 (12.2)"",""586 (20.9)"""
"Size,""Small (<10 kg)"",""360 (29.6)"",""59 (14.9)"",""210 (17.6)"",""629 (22.4)"""
" ,""Medium (10–30 kg)"",""638 (52.4)"",""274 (69.2)"",""769 (64.5)"",""1,681 (59.9)"""
" ,""Large (>30 kg)"",""218 (17.9)"",""63 (15.9)"",""214 (17.9)"",""495 (17.6)"""
" ,""Unknown"",""1 (0.1)"",""0"",""0"",""1 (0.1)"""
"Age,""<0.5 years"",""227 (18.7)"",""20 (5.1)"",""151 (12.6)"",""398 (14.2)"""
" ,""0.5–<1 year"",""257 (21.1)"",""29 (7.3)"",""330 (27.7)"",""616 (21.9)"""
" ,""1–<3 years"",""311 (25.5)"",""77 (19.5)"",""424 (35.5)"",""812 (28.9)"""
" ,""3–<6 years"",""209 (17.2)"",""123 (31.1)"",""198 (16.6)"",""530 (18.9)"""
" ,""6–<10"",""169 (13.9)"",""113 (28.6)"",""76 (6.4)"",""358 (12.8)"""
" ,""≥10"",""44 (3.6)"",""33 (8.3)"",""14 (1.2)"",""91 (3.2)"""
" ,""Unknown"",""0"",""1 (0.1)"",""0"",""1 (0.1)"""
"Spayed/Neutered before arrival,""Yes"",""355 (29.2)"",""314 (79.3)"",""1,012 (84.8)"",""1,681 (59.9)"""
" ,""No"",""862 (70.8)"",""82 (20.7)"",""181 (15.2)"",""1,125 (40.1)"""
"How long have they owned the dog,""<6months"",""414 (34.0)"",""52 (13.1)"",""896 (75.1)"",""1,362 (48.5)"""
" ,""6 months–1 year"",""211 (17.3)"",""36 (9.1)"",""175 (14.6)"",""422 (15.0)"""
" ,""1–5 years"",""384 (31.6)"",""208 (52.6)"",""116 (9.7)"",""708 (25.2)"""
" ,"">8 years"",""188 (15.5)"",""99 (25.1)"",""3 (0.3)"",""290 (10.4)"""
" ,""Unknown"",""20 (1.6)"",""1 (0.1)"",""3 (0.3)"",""24 (0.9)"""
